burnT : 1	altitude : 265.82845	maxAcc : 84.27454	maxV : 84.27454	maxMach : 0.24788	
burnT : 2	altitude : 603.09088	maxAcc : 79.01985	maxV : 153.44043	maxMach : 0.45191	
burnT : 3	altitude : 885.34499	maxAcc : 74.32106	maxV : 198.2675	maxMach : 0.58501	
burnT : 4	altitude : 1136.6763	maxAcc : 70.0944	maxV : 222.7609	maxMach : 0.6587	
burnT : 5	altitude : 1382.50095	maxAcc : 66.27211	maxV : 235.53205	maxMach : 0.69809	
burnT : 6	altitude : 1625.03868	maxAcc : 62.79881	maxV : 242.72723	maxMach : 0.72115	
burnT : 7	altitude : 1867.02127	maxAcc : 59.62879	maxV : 247.43078	maxMach : 0.73693	
burnT : 8	altitude : 2106.50999	maxAcc : 56.724	maxV : 251.01833	maxMach : 0.74949	
burnT : 9	altitude : 2351.97241	maxAcc : 54.05247	maxV : 254.09814	maxMach : 0.7606	
burnT : 10	altitude : 2598.71767	maxAcc : 51.5872	maxV : 256.94904	maxMach : 0.7711	
burnT : 11	altitude : 2846.89817	maxAcc : 49.30519	maxV : 259.70558	maxMach : 0.78139	
burnT : 12	altitude : 3096.61618	maxAcc : 47.18673	maxV : 262.4364	maxMach : 0.79166	
burnT : 13	altitude : 3345.04249	maxAcc : 45.21486	maxV : 265.17863	maxMach : 0.80204	
burnT : 14	altitude : 3600.17231	maxAcc : 43.37486	maxV : 267.95359	maxMach : 0.81259	
burnT : 15	altitude : 3857.10016	maxAcc : 41.65394	maxV : 270.77432	maxMach : 0.82335	
burnT : 16	altitude : 4115.88987	maxAcc : 40.08707	maxV : 273.64941	maxMach : 0.83435	
burnT : 17	altitude : 4372.62969	maxAcc : 38.62188	maxV : 276.58493	maxMach : 0.84561	
burnT : 18	altitude : 4637.6633	maxAcc : 37.23708	maxV : 279.58549	maxMach : 0.85714	
burnT : 19	altitude : 4904.81415	maxAcc : 35.92652	maxV : 282.65489	maxMach : 0.86898	
burnT : 20	altitude : 5174.1526	maxAcc : 34.68464	maxV : 285.79638	maxMach : 0.88112	
burnT : 21	altitude : 5441.66524	maxAcc : 33.50636	maxV : 289.01295	maxMach : 0.89358	
burnT : 22	altitude : 5718.19922	maxAcc : 32.3871	maxV : 292.30737	maxMach : 0.90637	
burnT : 23	altitude : 5997.22215	maxAcc : 31.32268	maxV : 295.68237	maxMach : 0.91951	
burnT : 24	altitude : 6278.81809	maxAcc : 30.30927	maxV : 299.14056	maxMach : 0.933	
burnT : 25	altitude : 6560.05671	maxAcc : 29.3434	maxV : 302.68459	maxMach : 0.94687	
burnT : 26	altitude : 6849.99898	maxAcc : 28.42188	maxV : 306.31708	maxMach : 0.96111	
burnT : 27	altitude : 7142.88058	maxAcc : 27.54182	maxV : 310.04065	maxMach : 0.97576	
burnT : 28	altitude : 7435.07043	maxAcc : 26.70053	maxV : 313.85795	maxMach : 0.99082	
burnT : 29	altitude : 7737.37966	maxAcc : 25.89557	maxV : 317.77166	maxMach : 1.0063	
burnT : 30	altitude : 8043.05883	maxAcc : 25.12467	maxV : 321.78447	maxMach : 1.02221	
burnT : 31	altitude : 8348.73991	maxAcc : 24.38578	maxV : 325.89906	maxMach : 1.03858	
burnT : 32	altitude : 8665.11996	maxAcc : 23.67696	maxV : 330.11818	maxMach : 1.05542	
burnT : 33	altitude : 8985.37732	maxAcc : 22.99646	maxV : 334.44453	maxMach : 1.07274	
burnT : 34	altitude : 9307.54542	maxAcc : 22.34263	maxV : 338.88085	maxMach : 1.09056	
burnT : 35	altitude : 9640.00585	maxAcc : 21.71398	maxV : 343.42986	maxMach : 1.10889	
burnT : 36	altitude : 9973.21645	maxAcc : 21.10908	maxV : 348.09424	maxMach : 1.12776	
burnT : 37	altitude : 10319.13727	maxAcc : 20.52664	maxV : 352.87667	maxMach : 1.14716	
burnT : 38	altitude : 10665.37966	maxAcc : 19.96545	maxV : 357.77977	maxMach : 1.16714	
burnT : 39	altitude : 11026.17748	maxAcc : 19.42439	maxV : 362.80611	maxMach : 1.18769	
burnT : 40	altitude : 11387.5911	maxAcc : 18.9024	maxV : 367.95819	maxMach : 1.20883	
burnT : 41	altitude : 11764.2479	maxAcc : 18.3985	maxV : 373.23839	maxMach : 1.23059	
burnT : 42	altitude : 12141.76314	maxAcc : 17.91179	maxV : 378.649	maxMach : 1.25298	
burnT : 43	altitude : 12534.21326	maxAcc : 17.44442	maxV : 384.19218	maxMach : 1.27602	
burnT : 44	altitude : 12928.22331	maxAcc : 17.0024	maxV : 389.86991	maxMach : 1.29972	
burnT : 45	altitude : 13336.20757	maxAcc : 16.57385	maxV : 395.684	maxMach : 1.3241	
burnT : 46	altitude : 13747.28771	maxAcc : 16.15818	maxV : 401.63606	maxMach : 1.34917	
burnT : 47	altitude : 14170.96525	maxAcc : 15.75486	maxV : 407.72743	maxMach : 1.37496	
burnT : 48	altitude : 14599.19057	maxAcc : 15.36338	maxV : 413.95921	maxMach : 1.40148	
burnT : 49	altitude : 15034.41537	maxAcc : 14.98323	maxV : 420.33217	maxMach : 1.42526	
burnT : 50	altitude : 15484.21995	maxAcc : 14.61397	maxV : 426.83959	maxMach : 1.44733	
burnT : 51	altitude : 15937.35422	maxAcc : 14.25514	maxV : 433.27608	maxMach : 1.46915	
burnT : 52	altitude : 16398.78823	maxAcc : 14.39975	maxV : 439.75971	maxMach : 1.49114	
burnT : 53	altitude : 16875.19957	maxAcc : 14.6529	maxV : 446.26064	maxMach : 1.51318	
burnT : 54	altitude : 17355.84602	maxAcc : 14.91968	maxV : 452.75022	maxMach : 1.53518	
burnT : 55	altitude : 17845.59004	maxAcc : 15.18887	maxV : 459.28362	maxMach : 1.55734	
burnT : 56	altitude : 18349.07046	maxAcc : 15.4661	maxV : 465.81538	maxMach : 1.57948	
burnT : 57	altitude : 18858.90178	maxAcc : 15.74655	maxV : 472.36481	maxMach : 1.60169	
burnT : 58	altitude : 19378.31858	maxAcc : 16.02758	maxV : 478.94474	maxMach : 1.624	
burnT : 59	altitude : 19906.10838	maxAcc : 16.31387	maxV : 485.50265	maxMach : 1.64624	
burnT : 60	altitude : 20443.82506	maxAcc : 16.59858	maxV : 492.08781	maxMach : 1.66857	
burnT : 61	altitude : 20997.26546	maxAcc : 16.88402	maxV : 498.66839	maxMach : 1.69088	
burnT : 62	altitude : 21555.31599	maxAcc : 17.16881	maxV : 505.24496	maxMach : 1.71318	
burnT : 63	altitude : 22123.16009	maxAcc : 17.45125	maxV : 511.82932	maxMach : 1.73551	
burnT : 64	altitude : 22699.22742	maxAcc : 17.73331	maxV : 518.37877	maxMach : 1.75772	
burnT : 65	altitude : 23284.97414	maxAcc : 18.01177	maxV : 524.92873	maxMach : 1.77993	
burnT : 66	altitude : 23879.15997	maxAcc : 18.28768	maxV : 531.44868	maxMach : 1.80203	
burnT : 67	altitude : 24488.1006	maxAcc : 18.55986	maxV : 537.94446	maxMach : 1.82406	
burnT : 68	altitude : 25100.59682	maxAcc : 18.82793	maxV : 544.41188	maxMach : 1.84599	
burnT : 69	altitude : 25720.29045	maxAcc : 19.09182	maxV : 550.83267	maxMach : 1.86776	
burnT : 70	altitude : 26347.57177	maxAcc : 19.35047	maxV : 557.2231	maxMach : 1.88943	
burnT : 71	altitude : 26979.98333	maxAcc : 19.60425	maxV : 563.5486	maxMach : 1.91088	
burnT : 72	altitude : 27618.26786	maxAcc : 19.8521	maxV : 569.83199	maxMach : 1.93218	
burnT : 73	altitude : 28260.33463	maxAcc : 20.09411	maxV : 576.04722	maxMach : 1.95326	
burnT : 74	altitude : 28911.09737	maxAcc : 20.32969	maxV : 582.20199	maxMach : 1.97413	
burnT : 75	altitude : 29560.49915	maxAcc : 20.55868	maxV : 588.28389	maxMach : 1.99475	
burnT : 76	altitude : 30211.42449	maxAcc : 20.78073	maxV : 594.28877	maxMach : 2.01511	
burnT : 77	altitude : 30863.19084	maxAcc : 20.9956	maxV : 600.21489	maxMach : 2.03521	
burnT : 78	altitude : 31514.26734	maxAcc : 21.20306	maxV : 606.04924	maxMach : 2.05499	
burnT : 79	altitude : 32164.49943	maxAcc : 21.4029	maxV : 611.79796	maxMach : 2.07448	
burnT : 80	altitude : 32811.93106	maxAcc : 21.59489	maxV : 617.442	maxMach : 2.09362	
burnT : 81	altitude : 33463.80401	maxAcc : 21.77895	maxV : 622.99272	maxMach : 2.11244	
burnT : 82	altitude : 34105.6357	maxAcc : 21.95483	maxV : 628.42777	maxMach : 2.13087	
burnT : 83	altitude : 34743.18564	maxAcc : 22.12253	maxV : 633.76112	maxMach : 2.14895	
burnT : 84	altitude : 35374.37386	maxAcc : 22.28181	maxV : 638.9697	maxMach : 2.16662	
burnT : 85	altitude : 36005.30668	maxAcc : 22.43277	maxV : 644.06769	maxMach : 2.1839	
burnT : 86	altitude : 36624.13732	maxAcc : 22.57518	maxV : 649.0337	maxMach : 2.20074	
burnT : 87	altitude : 37234.74401	maxAcc : 22.70918	maxV : 653.87981	maxMach : 2.21717	
burnT : 88	altitude : 37840.80793	maxAcc : 22.83459	maxV : 658.58862	maxMach : 2.23314	
burnT : 89	altitude : 38434.35826	maxAcc : 22.95157	maxV : 663.1679	maxMach : 2.24867	
burnT : 90	altitude : 39016.47175	maxAcc : 23.06004	maxV : 667.60637	maxMach : 2.26372	
burnT : 91	altitude : 39592.3783	maxAcc : 23.1601	maxV : 671.90545	maxMach : 2.27829	
burnT : 92	altitude : 40153.90704	maxAcc : 23.25181	maxV : 676.06197	maxMach : 2.29239	
burnT : 93	altitude : 40699.75756	maxAcc : 23.33518	maxV : 680.06914	maxMach : 2.30598	
burnT : 94	altitude : 41241.35889	maxAcc : 23.41043	maxV : 683.9336	maxMach : 2.31908	
burnT : 95	altitude : 41762.43046	maxAcc : 23.47746	maxV : 687.63871	maxMach : 2.33164	
burnT : 96	altitude : 42275.32933	maxAcc : 23.53662	maxV : 691.19867	maxMach : 2.34371	
burnT : 97	altitude : 42768.63835	maxAcc : 23.5878	maxV : 694.59692	maxMach : 2.35524	
burnT : 98	altitude : 43252.71877	maxAcc : 23.63131	maxV : 697.84165	maxMach : 2.36624	
burnT : 99	altitude : 43714.80619	maxAcc : 23.66724	maxV : 700.92942	maxMach : 2.37671	
burnT : 100	altitude : 44167.58129	maxAcc : 23.69565	maxV : 703.85253	maxMach : 2.38662	
burnT : 101	altitude : 44598.91592	maxAcc : 23.71687	maxV : 706.6207	maxMach : 2.39601	
burnT : 102	altitude : 45018.49521	maxAcc : 23.73086	maxV : 709.22097	maxMach : 2.40482	
burnT : 103	altitude : 45420.16986	maxAcc : 23.73791	maxV : 711.65955	maxMach : 2.41309	
burnT : 104	altitude : 45801.03472	maxAcc : 23.73823	maxV : 713.93899	maxMach : 2.42082	
burnT : 105	altitude : 46169.93227	maxAcc : 23.73177	maxV : 716.04475	maxMach : 2.42796	
burnT : 106	altitude : 46518.94451	maxAcc : 23.71891	maxV : 717.98955	maxMach : 2.43277	
burnT : 107	altitude : 46845.07205	maxAcc : 23.6998	maxV : 719.7715	maxMach : 2.4363	
burnT : 108	altitude : 47158.76384	maxAcc : 23.67443	maxV : 721.37974	maxMach : 2.43934	
burnT : 109	altitude : 47454.09315	maxAcc : 23.64316	maxV : 722.82491	maxMach : 2.44193	
burnT : 110	altitude : 47731.01374	maxAcc : 23.60616	maxV : 724.10752	maxMach : 2.44406	
burnT : 111	altitude : 47982.51204	maxAcc : 23.53813	maxV : 725.18913	maxMach : 2.44562	
burnT : 112	altitude : 48220.64322	maxAcc : 23.45322	maxV : 726.09495	maxMach : 2.4467	
burnT : 113	altitude : 48439.83922	maxAcc : 23.36596	maxV : 726.83909	maxMach : 2.44733	
burnT : 114	altitude : 48639.65381	maxAcc : 23.27639	maxV : 727.41808	maxMach : 2.44752	
burnT : 115	altitude : 48819.7023	maxAcc : 23.18455	maxV : 727.82903	maxMach : 2.44725	
burnT : 116	altitude : 48980.47553	maxAcc : 23.09054	maxV : 728.07758	maxMach : 2.44656	
burnT : 117	altitude : 49121.86437	maxAcc : 22.99441	maxV : 728.16351	maxMach : 2.44543	
burnT : 118	altitude : 49237.66172	maxAcc : 22.89663	maxV : 728.06458	maxMach : 2.44379	
burnT : 119	altitude : 49338.62131	maxAcc : 22.79675	maxV : 727.79829	maxMach : 2.44172	
burnT : 120	altitude : 49419.85929	maxAcc : 22.69485	maxV : 727.37149	maxMach : 2.43923	
burnT : 121	altitude : 49481.2742	maxAcc : 22.59098	maxV : 726.78402	maxMach : 2.43632	
burnT : 122	altitude : 49522.76492	maxAcc : 22.48517	maxV : 726.0357	maxMach : 2.433	
