t,Fthrust,Fdrag,m,v,Mach,a,altitude,twr,maxV,maxMach,maxAcc,minAcc,maxG,minG
0,500.0,0,15.90498,0,0,0,113.0,3.20456,0,0,0,0,0,0
0.01,500.0,0.00035,15.90338,0.21627,0.00064,21.6267,113.00108,3.20456,0.21627,0.00064,21.6267,0,2.20531,0
0.02,500.0,0.0014,15.90177,0.43257,0.00127,21.62984,113.00433,3.20488,0.43257,0.00127,21.62984,0,2.20563,0
0.03,500.0,0.00316,15.90017,0.64889,0.00191,21.63295,113.00973,3.2052,0.64889,0.00191,21.63295,0,2.20595,0
0.04,500.0,0.00561,15.89857,0.86525,0.00255,21.63601,113.0173,3.20553,0.86525,0.00255,21.63601,0,2.20626,0
0.05,500.0,0.00877,15.89696,1.08165,0.00318,21.63902,113.02704,3.20585,1.08165,0.00318,21.63902,0,2.20657,0
0.06,500.0,0.01263,15.89536,1.29807,0.00382,21.64199,113.03894,3.20617,1.29807,0.00382,21.64199,0,2.20687,0
0.07,500.0,0.01719,15.89376,1.51451,0.00446,21.64492,113.053,3.2065,1.51451,0.00446,21.64492,0,2.20717,0
0.08,500.0,0.02246,15.89216,1.73099,0.00509,21.64781,113.06923,3.20682,1.73099,0.00509,21.64781,0,2.20746,0
0.09,500.0,0.02843,15.89055,1.9475,0.00573,21.65065,113.08762,3.20714,1.9475,0.00573,21.65065,0,2.20775,0
0.1,500.0,0.0351,15.88895,2.16403,0.00637,21.65345,113.10818,3.20747,2.16403,0.00637,21.65345,0,2.20804,0
0.11,500.0,0.04247,15.88735,2.3806,0.007,21.6562,113.1309,3.20779,2.3806,0.007,21.6562,0,2.20832,0
0.12,500.0,0.05055,15.88575,2.59718,0.00764,21.65891,113.15579,3.20811,2.59718,0.00764,21.65891,0,2.20859,0
0.13,500.0,0.05934,15.88414,2.8138,0.00828,21.66158,113.18284,3.20844,2.8138,0.00828,21.66158,0,2.20887,0
0.14,500.0,0.06883,15.88254,3.03044,0.00892,21.6642,113.21207,3.20876,3.03044,0.00892,21.6642,0,2.20913,0
0.15,500.0,0.07902,15.88094,3.24711,0.00955,21.66678,113.24345,3.20908,3.24711,0.00955,21.66678,0,2.2094,0
0.16,500.0,0.08992,15.87933,3.4638,0.01019,21.66931,113.27701,3.20941,3.4638,0.01019,21.66931,0,2.20965,0
0.17,500.0,0.10152,15.87773,3.68052,0.01083,21.6718,113.31273,3.20973,3.68052,0.01083,21.6718,0,2.20991,0
0.18,500.0,0.11383,15.87613,3.89726,0.01147,21.67425,113.35062,3.21006,3.89726,0.01147,21.67425,0,2.21016,0
0.19,500.0,0.12685,15.87453,4.11403,0.01211,21.67665,113.39067,3.21038,4.11403,0.01211,21.67665,0,2.2104,0
0.2,500.0,0.14057,15.87292,4.33082,0.01274,21.67901,113.4329,3.2107,4.33082,0.01274,21.67901,0,2.21064,0
