	t : 0         		Fthrust : 500.0     		Fdrag : 0         		m : 15.90498  		v : 0         		Mach : 0         		a : 0         		altitude : 113.0     		twr : 3.20456   	
	t : 0.01      		Fthrust : 500.0     		Fdrag : 0.00035   		m : 15.90338  		v : 0.21627   		Mach : 0.00064   		a : 21.6267   		altitude : 113.00108 		twr : 3.20456   	
	t : 0.02      		Fthrust : 500.0     		Fdrag : 0.0014    		m : 15.90177  		v : 0.43257   		Mach : 0.00127   		a : 21.62984  		altitude : 113.00433 		twr : 3.20488   	
	t : 0.03      		Fthrust : 500.0     		Fdrag : 0.00316   		m : 15.90017  		v : 0.64889   		Mach : 0.00191   		a : 21.63295  		altitude : 113.00973 		twr : 3.2052    	
	t : 0.04      		Fthrust : 500.0     		Fdrag : 0.00561   		m : 15.89857  		v : 0.86525   		Mach : 0.00255   		a : 21.63601  		altitude : 113.0173  		twr : 3.20553   	
	t : 0.05      		Fthrust : 500.0     		Fdrag : 0.00877   		m : 15.89696  		v : 1.08165   		Mach : 0.00318   		a : 21.63902  		altitude : 113.02704 		twr : 3.20585   	
	t : 0.06      		Fthrust : 500.0     		Fdrag : 0.01263   		m : 15.89536  		v : 1.29807   		Mach : 0.00382   		a : 21.64199  		altitude : 113.03894 		twr : 3.20617   	
	t : 0.07      		Fthrust : 500.0     		Fdrag : 0.01719   		m : 15.89376  		v : 1.51451   		Mach : 0.00446   		a : 21.64492  		altitude : 113.053   		twr : 3.2065    	
	t : 0.08      		Fthrust : 500.0     		Fdrag : 0.02246   		m : 15.89216  		v : 1.73099   		Mach : 0.00509   		a : 21.64781  		altitude : 113.06923 		twr : 3.20682   	
	t : 0.09      		Fthrust : 500.0     		Fdrag : 0.02843   		m : 15.89055  		v : 1.9475    		Mach : 0.00573   		a : 21.65065  		altitude : 113.08762 		twr : 3.20714   	
	t : 0.1       		Fthrust : 500.0     		Fdrag : 0.0351    		m : 15.88895  		v : 2.16403   		Mach : 0.00637   		a : 21.65345  		altitude : 113.10818 		twr : 3.20747   	
	t : 0.11      		Fthrust : 500.0     		Fdrag : 0.04247   		m : 15.88735  		v : 2.3806    		Mach : 0.007     		a : 21.6562   		altitude : 113.1309  		twr : 3.20779   	
	t : 0.12      		Fthrust : 500.0     		Fdrag : 0.05055   		m : 15.88575  		v : 2.59718   		Mach : 0.00764   		a : 21.65891  		altitude : 113.15579 		twr : 3.20811   	
	t : 0.13      		Fthrust : 500.0     		Fdrag : 0.05934   		m : 15.88414  		v : 2.8138    		Mach : 0.00828   		a : 21.66158  		altitude : 113.18284 		twr : 3.20844   	
	t : 0.14      		Fthrust : 500.0     		Fdrag : 0.06883   		m : 15.88254  		v : 3.03044   		Mach : 0.00892   		a : 21.6642   		altitude : 113.21207 		twr : 3.20876   	
	t : 0.15      		Fthrust : 500.0     		Fdrag : 0.07902   		m : 15.88094  		v : 3.24711   		Mach : 0.00955   		a : 21.66678  		altitude : 113.24345 		twr : 3.20908   	
	t : 0.16      		Fthrust : 500.0     		Fdrag : 0.08992   		m : 15.87933  		v : 3.4638    		Mach : 0.01019   		a : 21.66931  		altitude : 113.27701 		twr : 3.20941   	
	t : 0.17      		Fthrust : 500.0     		Fdrag : 0.10152   		m : 15.87773  		v : 3.68052   		Mach : 0.01083   		a : 21.6718   		altitude : 113.31273 		twr : 3.20973   	
	t : 0.18      		Fthrust : 500.0     		Fdrag : 0.11383   		m : 15.87613  		v : 3.89726   		Mach : 0.01147   		a : 21.67425  		altitude : 113.35062 		twr : 3.21006   	
	t : 0.19      		Fthrust : 500.0     		Fdrag : 0.12685   		m : 15.87453  		v : 4.11403   		Mach : 0.01211   		a : 21.67665  		altitude : 113.39067 		twr : 3.21038   	
