t,Fthrust,Fdrag,m,v,Mach,a,altitude,twr,maxV,maxMach,maxAcc,minAcc,maxG,minG
0,500.0,0,15.90498,0,0,0,113.0,3.20456,0,0,0,0,0,0
0.01,500.0,0.00015,15.90338,0.21627,0.00064,21.6267,113.00108,3.20456,0.21627,0.00064,21.6267,0,2.20531,0
0.02,500.0,0.0006,15.90177,0.43257,0.00127,21.62986,113.00433,3.20488,0.43257,0.00127,21.62986,0,2.20563,0
0.03,500.0,0.00135,15.90017,0.6489,0.00191,21.633,113.00973,3.2052,0.6489,0.00191,21.633,0,2.20595,0
0.04,500.0,0.0024,15.89857,0.86526,0.00255,21.63612,113.0173,3.20553,0.86526,0.00255,21.63612,0,2.20627,0
0.05,500.0,0.00376,15.89696,1.08165,0.00318,21.63922,113.02704,3.20585,1.08165,0.00318,21.63922,0,2.20659,0
0.06,500.0,0.00541,15.89536,1.29807,0.00382,21.64231,113.03894,3.20617,1.29807,0.00382,21.64231,0,2.2069,0
0.07,500.0,0.00737,15.89376,1.51453,0.00446,21.64538,113.053,3.2065,1.51453,0.00446,21.64538,0,2.20721,0
0.08,500.0,0.00962,15.89216,1.73101,0.00509,21.64843,113.06923,3.20682,1.73101,0.00509,21.64843,0,2.20753,0
0.09,500.0,0.01218,15.89055,1.94752,0.00573,21.65146,113.08762,3.20714,1.94752,0.00573,21.65146,0,2.20783,0
0.1,500.0,0.01504,15.88895,2.16407,0.00637,21.65447,113.10818,3.20747,2.16407,0.00637,21.65447,0,2.20814,0
0.11,500.0,0.0182,15.88735,2.38064,0.007,21.65746,113.1309,3.20779,2.38064,0.007,21.65746,0,2.20845,0
0.12,500.0,0.02167,15.88575,2.59725,0.00764,21.66044,113.15579,3.20811,2.59725,0.00764,21.66044,0,2.20875,0
0.13,500.0,0.02543,15.88414,2.81388,0.00828,21.6634,113.18285,3.20844,2.81388,0.00828,21.6634,0,2.20905,0
0.14,500.0,0.0295,15.88254,3.03055,0.00892,21.66633,113.21207,3.20876,3.03055,0.00892,21.66633,0,2.20935,0
0.15,500.0,0.03387,15.88094,3.24724,0.00955,21.66925,113.24346,3.20908,3.24724,0.00955,21.66925,0,2.20965,0
0.16,500.0,0.03854,15.87933,3.46396,0.01019,21.67216,113.27701,3.20941,3.46396,0.01019,21.67216,0,2.20994,0
0.17,500.0,0.04351,15.87773,3.68071,0.01083,21.67504,113.31274,3.20973,3.68071,0.01083,21.67504,0,2.21024,0
0.18,500.0,0.04879,15.87613,3.89749,0.01147,21.6779,113.35063,3.21006,3.89749,0.01147,21.6779,0,2.21053,0
0.19,500.0,0.05437,15.87453,4.1143,0.01211,21.68075,113.39069,3.21038,4.1143,0.01211,21.68075,0,2.21082,0
0.2,500.0,0.06025,15.87292,4.33113,0.01274,21.68358,113.43291,3.2107,4.33113,0.01274,21.68358,0,2.21111,0
0.21,500.0,0.06644,15.87132,4.548,0.01338,21.68639,113.47731,3.21103,4.548,0.01338,21.68639,0,2.2114,0
0.22,500.0,0.07292,15.86972,4.76489,0.01402,21.68918,113.52387,3.21135,4.76489,0.01402,21.68918,0,2.21168,0
0.23,500.0,0.07971,15.86811,4.98181,0.01466,21.69195,113.57261,3.21168,4.98181,0.01466,21.69195,0,2.21196,0
0.24,500.0,0.08681,15.86651,5.19875,0.0153,21.69471,113.62351,3.212,5.19875,0.0153,21.69471,0,2.21224,0
0.25,500.0,0.0942,15.86491,5.41573,0.01594,21.69744,113.67658,3.21233,5.41573,0.01594,21.69744,0,2.21252,0
0.26,500.0,0.1019,15.86331,5.63273,0.01657,21.70016,113.73183,3.21265,5.63273,0.01657,21.70016,0,2.2128,0
0.27,500.0,0.10991,15.8617,5.84976,0.01721,21.70286,113.78924,3.21297,5.84976,0.01721,21.70286,0,2.21308,0
0.28,500.0,0.11821,15.8601,6.06681,0.01785,21.70554,113.84882,3.2133,6.06681,0.01785,21.70554,0,2.21335,0
0.29,500.0,0.12683,15.8585,6.2839,0.01849,21.7082,113.91057,3.21362,6.2839,0.01849,21.7082,0,2.21362,0
0.3,500.0,0.13574,15.8569,6.50101,0.01913,21.71084,113.9745,3.21395,6.50101,0.01913,21.71084,0,2.21389,0
0.31,500.0,0.14496,15.85529,6.71814,0.01977,21.71346,114.04059,3.21427,6.71814,0.01977,21.71346,0,2.21416,0
0.32,500.0,0.15448,15.85369,6.9353,0.02041,21.71607,114.10886,3.2146,6.9353,0.02041,21.71607,0,2.21442,0
0.33,500.0,0.16431,15.85209,7.15249,0.02105,21.71866,114.1793,3.21492,7.15249,0.02105,21.71866,0,2.21469,0
0.34,500.0,0.17444,15.85048,7.3697,0.02169,21.72122,114.25191,3.21525,7.3697,0.02169,21.72122,0,2.21495,0
0.35,500.0,0.18487,15.84888,7.58694,0.02232,21.72377,114.32669,3.21557,7.58694,0.02232,21.72377,0,2.21521,0
0.36,500.0,0.19561,15.84728,7.8042,0.02296,21.7263,114.40365,3.2159,7.8042,0.02296,21.7263,0,2.21547,0
0.37,500.0,0.20665,15.84568,8.02149,0.0236,21.72882,114.48278,3.21622,8.02149,0.0236,21.72882,0,2.21572,0
0.38,500.0,0.218,15.84407,8.2388,0.02424,21.73131,114.56408,3.21655,8.2388,0.02424,21.73131,0,2.21598,0
0.39,500.0,0.22965,15.84247,8.45614,0.02488,21.73378,114.64755,3.21687,8.45614,0.02488,21.73378,0,2.21623,0
0.4,500.0,0.2416,15.84087,8.6735,0.02552,21.73624,114.7332,3.2172,8.6735,0.02552,21.73624,0,2.21648,0
0.41,500.0,0.25386,15.83926,8.89089,0.02616,21.73868,114.82103,3.21753,8.89089,0.02616,21.73868,0,2.21673,0
0.42,500.0,0.26643,15.83766,9.1083,0.0268,21.74109,114.91102,3.21785,9.1083,0.0268,21.74109,0,2.21697,0
0.43,500.0,0.2793,15.83606,9.32573,0.02744,21.74349,115.00319,3.21818,9.32573,0.02744,21.74349,0,2.21722,0
0.44,500.0,0.29247,15.83446,9.54319,0.02808,21.74588,115.09754,3.2185,9.54319,0.02808,21.74588,0,2.21746,0
0.45,500.0,0.30595,15.83285,9.76068,0.02872,21.74824,115.19406,3.21883,9.76068,0.02872,21.74824,0,2.2177,0
0.46,500.0,0.31974,15.83125,9.97818,0.02936,21.75058,115.29275,3.21915,9.97818,0.02936,21.75058,0,2.21794,0
0.47,500.0,0.33383,15.82965,10.19571,0.03,21.75291,115.39362,3.21948,10.19571,0.03,21.75291,0,2.21818,0
0.48,500.0,0.34822,15.82805,10.41326,0.03064,21.75521,115.49666,3.21981,10.41326,0.03064,21.75521,0,2.21841,0
