	t : 0         		Fthrust : 500.0     		Fdrag : 0         		m : 15.90498  		v : 0         		Mach : 0         		a : 0         		altitude : 113.0     		twr : 3.20456   	
	t : 0.01      		Fthrust : 500.0     		Fdrag : 0.00015   		m : 15.90338  		v : 0.21627   		Mach : 0.00064   		a : 21.6267   		altitude : 113.00108 		twr : 3.20456   	
	t : 0.02      		Fthrust : 500.0     		Fdrag : 0.0006    		m : 15.90177  		v : 0.43257   		Mach : 0.00127   		a : 21.62986  		altitude : 113.00433 		twr : 3.20488   	
	t : 0.03      		Fthrust : 500.0     		Fdrag : 0.00135   		m : 15.90017  		v : 0.6489    		Mach : 0.00191   		a : 21.633    		altitude : 113.00973 		twr : 3.2052    	
	t : 0.04      		Fthrust : 500.0     		Fdrag : 0.0024    		m : 15.89857  		v : 0.86526   		Mach : 0.00255   		a : 21.63612  		altitude : 113.0173  		twr : 3.20553   	
	t : 0.05      		Fthrust : 500.0     		Fdrag : 0.00376   		m : 15.89696  		v : 1.08165   		Mach : 0.00318   		a : 21.63922  		altitude : 113.02704 		twr : 3.20585   	
	t : 0.06      		Fthrust : 500.0     		Fdrag : 0.00541   		m : 15.89536  		v : 1.29807   		Mach : 0.00382   		a : 21.64231  		altitude : 113.03894 		twr : 3.20617   	
	t : 0.07      		Fthrust : 500.0     		Fdrag : 0.00737   		m : 15.89376  		v : 1.51453   		Mach : 0.00446   		a : 21.64538  		altitude : 113.053   		twr : 3.2065    	
	t : 0.08      		Fthrust : 500.0     		Fdrag : 0.00962   		m : 15.89216  		v : 1.73101   		Mach : 0.00509   		a : 21.64843  		altitude : 113.06923 		twr : 3.20682   	
	t : 0.09      		Fthrust : 500.0     		Fdrag : 0.01218   		m : 15.89055  		v : 1.94752   		Mach : 0.00573   		a : 21.65146  		altitude : 113.08762 		twr : 3.20714   	
	t : 0.1       		Fthrust : 500.0     		Fdrag : 0.01504   		m : 15.88895  		v : 2.16407   		Mach : 0.00637   		a : 21.65447  		altitude : 113.10818 		twr : 3.20747   	
	t : 0.11      		Fthrust : 500.0     		Fdrag : 0.0182    		m : 15.88735  		v : 2.38064   		Mach : 0.007     		a : 21.65746  		altitude : 113.1309  		twr : 3.20779   	
	t : 0.12      		Fthrust : 500.0     		Fdrag : 0.02167   		m : 15.88575  		v : 2.59725   		Mach : 0.00764   		a : 21.66044  		altitude : 113.15579 		twr : 3.20811   	
	t : 0.13      		Fthrust : 500.0     		Fdrag : 0.02543   		m : 15.88414  		v : 2.81388   		Mach : 0.00828   		a : 21.6634   		altitude : 113.18285 		twr : 3.20844   	
	t : 0.14      		Fthrust : 500.0     		Fdrag : 0.0295    		m : 15.88254  		v : 3.03055   		Mach : 0.00892   		a : 21.66633  		altitude : 113.21207 		twr : 3.20876   	
	t : 0.15      		Fthrust : 500.0     		Fdrag : 0.03387   		m : 15.88094  		v : 3.24724   		Mach : 0.00955   		a : 21.66925  		altitude : 113.24346 		twr : 3.20908   	
	t : 0.16      		Fthrust : 500.0     		Fdrag : 0.03854   		m : 15.87933  		v : 3.46396   		Mach : 0.01019   		a : 21.67216  		altitude : 113.27701 		twr : 3.20941   	
	t : 0.17      		Fthrust : 500.0     		Fdrag : 0.04351   		m : 15.87773  		v : 3.68071   		Mach : 0.01083   		a : 21.67504  		altitude : 113.31274 		twr : 3.20973   	
	t : 0.18      		Fthrust : 500.0     		Fdrag : 0.04879   		m : 15.87613  		v : 3.89749   		Mach : 0.01147   		a : 21.6779   		altitude : 113.35063 		twr : 3.21006   	
	t : 0.19      		Fthrust : 500.0     		Fdrag : 0.05437   		m : 15.87453  		v : 4.1143    		Mach : 0.01211   		a : 21.68075  		altitude : 113.39069 		twr : 3.21038   	
	t : 0.2       		Fthrust : 500.0     		Fdrag : 0.06025   		m : 15.87292  		v : 4.33113   		Mach : 0.01274   		a : 21.68358  		altitude : 113.43291 		twr : 3.2107    	
	t : 0.21      		Fthrust : 500.0     		Fdrag : 0.06644   		m : 15.87132  		v : 4.548     		Mach : 0.01338   		a : 21.68639  		altitude : 113.47731 		twr : 3.21103   	
	t : 0.22      		Fthrust : 500.0     		Fdrag : 0.07292   		m : 15.86972  		v : 4.76489   		Mach : 0.01402   		a : 21.68918  		altitude : 113.52387 		twr : 3.21135   	
